Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impacto Bruto,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Adalto Jr,adaltojr,São Paulo,545,2,2,0,0,333601,0,0,14091,R$0.10,0.29%,R$20.98,R$0.10,0.64%,0.29%,5456,5456,
Andressa Alves,eudessaalves,São Paulo,545,5,5,0,0,109422,0,0,2166,R$0.00,0.00%,R$0.00,R$0.00,0.12%,0.00%,0,0,
Biel Romano,bielromano,São Paulo,545,4,4,0,0,1174944,0,0,51180,R$0.00,0.00%,R$0.00,R$0.00,0.33%,0.00%,0,0,
Fernandinho beatbox,bbxfernandinho,São Paulo,545,1,1,0,0,249033,0,0,12163,R$0.00,0.00%,R$0.00,R$0.00,1.48%,0.00%,0,0,
Gabriel Moura,gmoura,São Paulo,545,3,3,0,0,583705,0,0,1734,R$0.11,2.49%,R$4.50,R$0.02,0.03%,2.49%,5456,5456,
Gabriel Ximenez,gabrielximenez,São Paulo,545,2,2,0,0,200573,0,0,4302,R$0.10,2.49%,R$19.08,R$0.10,0.65%,2.49%,5456,5456,
Joãozinho,ujoaozinho,São Paulo,545,2,2,0,0,4715003,0,0,637940,R$0.00,0.00%,R$0.00,R$0.00,2.05%,0.00%,0,0,
Juliana Arv,julianaarv,São Paulo,545,2,2,0,0,268189,0,0,12390,R$0.06,1.62%,R$3.81,R$0.06,0.70%,1.62%,5456,5456,
Luciano ,lucianodvs,São Paulo,545,2,2,0,0,930217,0,0,121561,R$0.06,1.62%,R$3.81,R$0.06,1.98%,1.62%,5456,5456,
Sander Henrique,sanderneguin,São Paulo,545,2,2,0,0,105437,0,0,6541,R$0.06,1.62%,R$3.81,R$0.06,0.94%,1.62%,5456,5456,
Waah,warteiro,São Paulo,545,2,2,0,0,256446,0,0,9647,R$0.06,1.62%,R$3.81,R$0.06,0.57%,1.62%,5456,5456,